timestamp,signal_dBm,SSID,BSSID,frequency,bitrate
2025-10-03T21:54:38.905884,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:39.959996,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:40.969569,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:41.771039,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:42.717210,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:43.729692,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:44.722099,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:45.794983,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:46.839232,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:47.649410,-42,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:54:48.661951,-43,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:54:49.671337,-42,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:54:50.672413,-42,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:54:51.676224,-43,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:54:52.680857,-47,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:53.700381,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:54.967586,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:55.817403,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:56.749471,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:57.705069,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:58.739227,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:59.809245,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:00.825536,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:01.769045,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:02.742474,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:03.761267,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:04.719583,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:05.799171,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:06.738557,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:07.739124,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:08.729017,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:09.754763,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:10.834141,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:11.888699,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:12.800312,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
